station_name,station_city,station_geopos,station_capacity,station_id
20th Street,San Francisco,37.71566474009267::-122.4214207521792,45,2751
Santa Paula Street,Los Angeles,34.24761792506467::-119.0859727393569,7,1343
1959 West 10th Street,New York,40.76430877021448::-73.81258799675322,34,1976
68th Avenue South,Seattle,47.41207121413164::-122.2471303887539,7,1471
Alta Plaza Park,San Francisco,37.79805013215879::-122.413047744332,42,1347
Northwest 11th Street,Miami,26.39728633616345::-80.13986830632233,14,2312
Kent Drive,Dallas,32.79750569867797::-96.87289375876242,40,2367
North Elaine Place,Chicago,41.82583942752094::-87.75430423633412,50,3082
Grand Avenue,San Francisco,37.75915830692741::-122.4798674650416,7,3043
29th Avenue South,Seattle,47.56192804570751::-122.3664044346543,14,107
Kirven Drive,Dallas,32.72971586572259::-97.02538045628606,7,1498
Yermo Street,Los Angeles,34.37035892577045::-118.7423374041112,15,3711
120th Avenue Northeast,Seattle,47.54193942979374::-122.3175978733459,7,2471
Holywood Bd,Los Angeles,,55,10
Blackhawk Drive,Chicago,41.81317461308437::-87.59869465591649,7,2581
East Kiest Boulevard,Dallas,32.9004127762262::-96.92924619469366,44,788
Via de Casas Sur,Miami,25.9603153788988::-80.30306691610666,13,450
52nd Avenue Southeast,Seattle,47.31591148130082::-122.2051926883264,7,2036
East 29th Street,Los Angeles,33.89773629152528::-117.9742986067263,27,2553
Dos Vientos Open Space,Los Angeles,34.02384961376426::-118.1918520165916,25,3220
Jog Road,Miami,26.62954456200514::-80.16133671537791,33,1423
Scarab Fire Road,Los Angeles,34.09753594879035::-118.8395998271709,9,1254
Vance Road,Dallas,32.94891459391977::-96.72403195510647,12,2439
Dolores Street,San Francisco,37.7348377348242::-122.477451343636,7,3750
127th Avenue Southeast,Seattle,25.57682157499213::-80.38404828875301,19,3497
Dallas Fort Worth Turnpike,Dallas,32.97848911922492::-96.70075253330349,33,481
West Arthur Avenue,Chicago,41.93022779752268::-87.75077407301156,8,1964
2435-2449 West North Avenue,Chicago,42.03061437311777::-87.73620448592965,38,843
East Golf Road,Chicago,41.9194510494039::-87.79092232842962,44,3113
Northwest 48th Street,Miami,26.67415956099067::-80.15128359909662,3,1136
Palm Greens Way,Miami,26.12980909424363::-80.10846647335846,7,1681
3942 North Paulina Street,Chicago,41.98915846967431::-87.69287467014423,7,506
South Farrar Drive,Chicago,41.8417265748465::-87.76473250092035,33,2917
Juno Ocean Walk,Miami,26.67509243639464::-80.25879346977564,7,2899
Windmill Canyon Road,Los Angeles,34.27048049311009::-118.9654755546175,20,2194
315 East 18th Street,New York,40.86861194033956::-73.84520089962245,43,2201
87-32 62nd Road,New York,40.73294961538099::-73.67781592036526,29,2657
East Kiest Boulevard,Dallas,32.90558131624582::-96.71560639518756,25,1035
West Barry Avenue,Chicago,42.08126231431011::-87.9794190714763,17,689
Northwest 36th Street,Seattle,47.62612516008793::-122.1667549367896,39,1096
North Custer Road,Dallas,32.84019098711082::-96.78734652431937,53,257
Huckleberry Court,San Francisco,37.77958426018991::-122.4927475785602,7,17
River Avenue,New York,40.73370209887352::-73.872414594822,7,2886
Hondo Ranch Road,Los Angeles,34.22003398559098::-118.819364192386,7,365
2142-2148 North Natchez Avenue,Chicago,42.00011254029945::-87.69304391812828,1,306
1220 Market Street,San Francisco,37.7788672735593::-122.4836276034331,7,2346
West Pacific Avenue,San Francisco,37.76481156872318::-122.4601191126153,46,855
Nutmeg Court,Chicago,42.10551231594867::-88.07035945682118,31,2797
Lakeridge Boulevard,Miami,26.47198498537442::-80.18871603101063,32,2110
Rivera Street,San Francisco,37.7881305584321::-122.4673824747416,26,3734
Haverhill Road,Miami,25.8283619773429::-80.33496671259921,49,3659
738 Drew Street,New York,40.58473298526604::-73.94615488737377,7,3315
28-04 56th Place,New York,40.93007155111618::-73.81746784071338,7,442
5577 North Leonard Avenue,Chicago,41.93893708687986::-87.77882030151619,0,318
Brighton Beach Avenue,New York,40.69122525981376::-73.78279730876895,7,473
Kilfinan Street,Los Angeles,34.03414985638658::-118.3177798554438,7,3129
Martin Luther King Jr Drive,San Francisco,37.71515511572001::-122.4555075940151,19,3024
Continental Avenue,Los Angeles,34.29248743753804::-118.615442144491,7,2769
Haggar Way,Dallas,32.80628649241626::-96.97802186126722,12,797
Northwest 127th Avenue,Miami,25.93339721593601::-80.22214223649607,32,3083
Misty Lane,Miami,26.29766098204159::-80.15978459349454,19,591
1300 West Fargo Avenue,Chicago,41.99446433723547::-87.69635421459409,30,3546
North Island Avenue,Los Angeles,33.99596074872799::-118.0377289349337,7,2989
Trentino Way,Miami,26.30590954509524::-80.17929905556849,7,706
Garland Road,Dallas,33.14479555104199::-96.67984231387904,26,1601
Canyon Ridge Drive,Dallas,32.75531629221152::-96.84342811730613,7,3503
West Adams Street,Chicago,41.92954437884172::-87.79185198714683,7,1883
Baldwin Hills Recreation Center,Los Angeles,34.21278047250258::-118.4933320284143,20,1915
Robinson Road,Dallas,32.7550645686647::-96.71543317501794,44,296
Pierce Avenue Southeast,Seattle,25.77964507533287::-80.41481201414817,43,3509
Round Table Drive,Dallas,32.81794078538774::-96.90663600083505,7,51
Teresita Boulevard,San Francisco,37.77459369365843::-122.4630631705452,7,3219
Evanston Avenue North,Seattle,47.59769138189812::-122.1368071751429,7,2167
Monarch Lakes Boulevard,Miami,25.6928202285395::-80.42732139411804,30,3461
Morris Park Engine Shop,New York,40.66036777909026::-73.98370592545373,13,1135
141-55 11th Avenue,New York,40.88467823703842::-73.86170496411387,1,201
1383 West Lake Street,Chicago,42.05558055078986::-87.85565724521382,4,3606
4207 South Rockwell Street,Chicago,41.94219119174252::-87.67064724447934,2,1904
East Kiest Boulevard,Dallas,32.83442948376795::-97.38457376866957,7,203
Weybridge Circle,Miami,26.65850999000269::-80.20334095561022,33,49
Blue Heron Bridge,Miami,26.03664711568634::-80.29662956364025,7,2202
Northeast 29th Street,Miami,26.55254130661343::-80.0585592806148,20,2060
Southwest 178th Avenue,Miami,25.64553663910857::-80.36888328409151,5,3482
Seaview Avenue,New York,40.7346314502451::-73.70295332070177,7,1657
4th Avenue,New York,40.84141976069067::-73.86768629000564,1,1652
,Seattle,47.7806448297865::-122.319502109297,7,1339
JFK Expressway,New York,40.7338055350995::-73.78485504202324,7,1389
McLaren Avenue,Los Angeles,34.23593531108997::-118.8145156358892,19,2313
Bulldog Motorway,Los Angeles,34.2219677761105::-118.9630300462228,4,3039
26th Avenue Southwest,Seattle,47.78643752376674::-122.346430827122,0,539
Voyager Drive,Dallas,32.79805273679182::-96.88330263646458,7,590
South Hoyne Avenue,Chicago,42.05599040777754::-87.89913219577457,14,2130
South 53rd Avenue,Chicago,41.99540171590321::-87.68579843637856,42,2981
Des Moines Memorial Drive,Seattle,47.63673314207602::-122.2816002855716,7,1453
26 West Etruria Street,Seattle,47.66228119200439::-122.3909204905672,54,1992
A Street Northeast,Seattle,47.63599148052336::-122.1517905548589,7,2309
71-25 58th Road,New York,40.83769135132334::-73.83301921928656,7,3071
Great Highway,San Francisco,37.77409239820164::-122.4291324814441,44,1275
North Bowmanville Avenue,Chicago,41.96324406058574::-87.81922198544504,25,369
Lyndon B Johnson Freeway,Dallas,32.87577876186156::-96.8369434959515,7,1446
Potter Road,Chicago,41.96021132283717::-87.69544413983095,16,2511
112 South Lucile Street,Seattle,47.65256819428769::-122.3835990805575,7,2609
Groat Point Drive,Seattle,47.41207121413164::-122.2471303887539,1,618
South Main Street,Dallas,33.20533235668078::-96.88677507616995,40,2422
Paramount Boulevard,Los Angeles,34.2206687894068::-118.6889656429914,7,1699
Nancy Lane,San Francisco,37.70981834862359::-122.4415127094198,11,2395
Aspen Hills Drive,Los Angeles,34.18868523429532::-118.9388166092417,38,2059
Southwest 95th Court,Miami,25.70208094410476::-80.39152825989827,43,288
Strathern Street,Los Angeles,34.20539716011205::-118.6834433735072,7,3479
West Arthur Avenue,Chicago,41.99935093820788::-87.6839711608572,7,2762
2475 West Dunkeld Place,Denver,39.89005933075979::-105.1075288972475,7,79
Green Street,San Francisco,37.74522109258226::-122.4649469603445,2,3653
25th Place South,Seattle,47.56108083886051::-122.3796819933297,32,1962
Northwest 19th Avenue,Miami,26.08772086723373::-80.17668676996399,44,3217
Anza Loop Trail,Los Angeles,33.9710078700669::-118.1169739799564,25,2071
33-33 107th Street,New York,40.76872345721323::-73.90667650449495,54,3673
7201 West Marginal Way Southwest,Seattle,47.66286098001997::-122.1974855112749,7,3240
Dallas Fire Station Number 1,Dallas,32.81609608912397::-96.85059332723532,49,2483
Clover Avenue,New York,40.73888609795215::-73.82326332459368,17,1432
6212 106th Avenue Northeast,Seattle,47.57483190741681::-122.1208297194538,16,1170
Kennedy Expressway,Chicago,42.00011254029945::-87.69304391812828,7,143
Evanston Avenue North,Seattle,47.6834698029184::-122.3790162501473,19,2293
,Miami,26.00431601495733::-80.33141528115908,21,1613
South Street,Chicago,41.95008503315977::-87.66699384989009,7,1501
Colima Road,Los Angeles,34.14909399091298::-118.816996127708,46,2485
1229 57th Street,New York,40.69864843992434::-73.87196438951,18,936
Southwest 5th Court,Miami,26.62558944945818::-80.2603444232733,7,1361
Northwest 55th Street,Miami,26.63895291846582::-80.31092897485001,6,3241
459 East 26th Street,New York,40.66431751357425::-73.76212921500357,7,859
Arroyo Conejo Trail,Los Angeles,34.25684736420193::-118.753220486734,7,116
Oakmont Estates Boulevard,Miami,26.53432708787027::-80.11545114578557,1,1128
Carmel Street,San Francisco,37.79927404882863::-122.4458301427362,25,421
Cumpston Street,Los Angeles,34.10408913008992::-118.3024873538851,7,3433
109th Avenue,New York,40.67823286628114::-73.89031481598536,46,1588
Southeast 75th Place,Seattle,47.52349959707644::-122.1547514418639,27,3524
16 Bills Place,New York,40.77327850722885::-73.91315554520598,55,2892
Florida's Turnpike,Miami,26.67800725940399::-80.10846623789251,7,3694
Northeast 13th Court,Seattle,47.75455324005599::-122.3290879168325,4,3048
North Seeley Avenue,Chicago,41.92691905044728::-87.65156396667382,7,1865
Varick Avenue,New York,40.74811939914665::-73.9144150213741,12,3597
Oak Ridge Drive,Dallas,32.81360963810458::-96.80374150917585,37,2425
Cross Kirkland Corridor,Seattle,47.66874287795486::-122.3832042367444,7,1479
1154 East 19th Street,New York,40.74703719588283::-73.83678627957144,33,2565
Happy Camp Canyon Fire Road,Los Angeles,34.33404832023106::-118.677955035282,7,1231
42-35 Judge Street,New York,40.64817830260827::-73.91440228743437,7,1145
Southwest 104th Avenue,Miami,26.55254130661343::-80.0585592806148,7,2552
Sound View Park Greenway,New York,40.68683662239992::-73.96944421893598,34,2449
Rita Lane,Dallas,32.6807103084931::-96.96900181011424,7,887
SeaGlass Restaurant,San Francisco,37.66387457745497::-122.3896807056333,25,2216
Northwest 66th Street,Miami,26.15667045669192::-80.21027379451425,29,3019
Dolores Street,San Francisco,37.77718436605476::-122.51071803491,7,1146
Devonshire Drive,New York,40.68938303158337::-73.83148978328099,7,3608
Lakefront Trail,Chicago,41.88781192038201::-87.66304239894961,5,3584
Northwest 75th Terrace,Miami,25.92841173255639::-80.2206244191583,7,1569
6339 West Warwick Avenue,Chicago,41.95364312664137::-87.6768572797796,7,1576
Trader's Village,Dallas,33.23454008761016::-96.83328523571694,1,538
11th Avenue Northeast,Seattle,47.79725663230034::-122.3124726818696,18,1532
38-42 Railroad Avenue,New York,40.71468085035158::-73.89147885787072,4,1294
Midway Road,Dallas,32.86118050887406::-97.37095774945395,4,2173
Southeast 40th Street,Seattle,47.63997037638548::-122.3513078055581,49,970
Northwest 151st Street,Miami,26.19036090248901::-80.16674373412724,28,2524
264th Street,New York,40.68894827309469::-73.81333331183789,5,3338
Fountains Circle,Miami,26.43311884996746::-80.18673717589326,39,1717
North Tarrant Parkway,Dallas,32.82088166261435::-96.89988459799643,7,458
Vanowen Street,Los Angeles,34.09283138679223::-118.2243529324787,40,1217
West Walnut Hill Lane,Dallas,32.98088819752724::-96.91278269974404,21,2585
Texas Street,San Francisco,37.75985102648935::-122.3964815081012,7,643
West West End Avenue,Chicago,41.86058779152624::-87.66413970461585,7,1000
Starling Drive,Dallas,32.85742195552731::-96.65780830771459,7,1459
Logan Street,Dallas,32.7332243134872::-96.82030544823354,21,233
2013 East 13th Street,New York,40.87690005179762::-73.86944785985081,7,1575
42-35 Judge Street,New York,40.72169924190298::-73.86120563563887,14,193
Saint Francis Church,Dallas,32.80150280946283::-96.68048812062048,41,2357
Aggen Road,Los Angeles,33.80097391799092::-118.0459193852898,34,3075
Amethyst Way,San Francisco,37.7172394609978::-122.4811618444908,47,2911
1200 Arguello Boulevard,San Francisco,37.74540660497321::-122.4724843340663,26,2103
North Tyler Street,Dallas,32.8055317773715::-97.04856781215938,33,1996
North Clybourn Avenue,Chicago,42.06344667685065::-87.88453577860784,7,3122
6332 North Keystone Avenue,Chicago,42.00625086196442::-87.72825426590933,5,1704
Skyline Boulevard,San Francisco,37.80652224401628::-122.4642885796295,33,287
North Kedvale Avenue,Chicago,41.87517390403616::-87.66435981202139,29,3009
4207 South Rockwell Street,Chicago,41.9217380213583::-87.75817134747182,56,3722
Palm Avenue,Los Angeles,34.29229180294208::-119.124071985899,7,3481
4th Avenue,San Francisco,37.74265136187849::-122.5192693752373,17,2255
Executive Center Drive,Miami,26.61968896867566::-80.0811074543372,50,1606
154th Avenue Southeast,Seattle,47.74859608471448::-122.2120420510937,7,1422
Slauson Avenue,Los Angeles,34.00974168840244::-118.3220808609704,7,1690
1630 Van Buren Street,New York,40.70504715023599::-73.74534000466481,7,2098
Langdon Drive,Dallas,32.88899023107178::-97.24498825133836,7,1208
Plymouth Avenue,San Francisco,37.68878918453717::-122.4893446849465,39,1249
SunPass Express Lanes,Seattle,47.77448145278898::-122.2359929222411,7,1672
Santa Monica Freeway,Los Angeles,34.17425985508485::-118.682835233721,7,2801
Jackie Robinson Parkway,New York,40.76118538489192::-73.90505485051908,32,1629
6501 17th Avenue,New York,40.70504715023599::-73.74534000466481,15,3057
4020 33rd Avenue West,Seattle,47.74404599469425::-122.2170166025304,39,3033
Hawes Street,San Francisco,37.79249556528115::-122.4613266640812,7,3552
South Clyde Avenue,Chicago,41.82243102389715::-87.6974297758938,4,256
Lower Tarrant Road,Dallas,32.77411604867692::-97.03519342719198,26,816
Los Angeles River Bike Route,Los Angeles,34.1783348494717::-119.0243685321495,22,363
Main Street,Chicago,42.01928305331702::-87.65518722224947,7,1417
Stockton Road,Los Angeles,34.19964698869097::-119.0454373212487,58,2083
5455 North Kildare Avenue,Chicago,42.09513568711945::-88.02094996868452,7,2303
Spooner Street,New York,40.73898974599112::-73.95207830580689,46,2097
South Old Dixie Highway,Miami,25.77964507533287::-80.41481201414817,7,1821
Dos Vientos Open Space,Los Angeles,34.2388296654676::-118.7347347159627,37,352
Hesperia Avenue,Los Angeles,34.19772476162144::-118.8742459321711,4,3723
Lippear Ranch Road,Los Angeles,34.1497116069914::-118.8065352430769,7,1456
Southwest 124th Avenue,Miami,25.92803439972349::-80.37443763224375,22,1367
1432 Outlook Avenue,New York,40.84829773261745::-73.90813305386182,11,3654
Balboa Circle,Miami,26.53199246032612::-80.05921899455898,30,540
147-44 Jasmine Avenue,New York,40.68821045227074::-73.72013262260396,28,1455
Verano Drive,San Francisco,37.73334149798571::-122.484754188832,7,2290
Spanish Oak Way,Miami,26.21188008866307::-80.17386614153735,27,2161
North Boundary Road,New York,40.73702370029574::-73.75376696919616,9,1399
Jackson Street,San Francisco,37.6520257712106::-122.4031610529465,7,353
Orange Hibiscus,Miami,26.4624315328563::-80.16135820618071,27,415
12904 Northeast 72nd Street,Seattle,47.64734531838862::-122.3218615065964,30,1406
4500 West Congress Parkway,Chicago,41.86372167428397::-87.69054836577489,18,3483
Yerba Buena Road,Los Angeles,34.0175513825583::-118.085142629476,27,465
Mayo Street,Miami,26.68933007591916::-80.13974890642847,23,763
South Halsted Street,Chicago,41.91567799526285::-87.65328256016488,42,1290
West Carlisle,Los Angeles,34.29248743753804::-118.615442144491,7,3026
,Miami,26.63972868205308::-80.09143721678161,29,2654
North Albany Avenue,Chicago,41.84349029164878::-87.72599220347793,29,439
North Kilbourn Avenue,Chicago,41.98643343863836::-87.80228006142318,7,3602
5419 North Virginia Avenue,Chicago,41.98294568141238::-87.72749944382609,12,315
Chasewood Circle,Seattle,47.67354196571326::-122.2407618084521,4,2915
Sand Ladder,San Francisco,37.7451464211174::-122.4870706269774,13,879
Pescadero Avenue,Los Angeles,34.34148479436455::-118.9402036736504,21,1766
Westdale Avenue,San Francisco,37.80217623390949::-122.3964366817087,24,3306
South Kolin Avenue,Chicago,41.8214148601463::-87.685373302841,4,1240
45th Avenue Southeast,Seattle,47.6911088995902::-122.1894038461307,11,1617
1921 79th Street,New York,40.90257837033661::-73.84940735555917,2,2116
3840 White Plains Road,New York,40.611711524205::-73.94689845795018,26,3151
East 5th Street,Los Angeles,34.19496483600938::-118.5023101548708,26,2447
162nd Street,New York,40.72267767998508::-73.80996975036763,47,3731
Avenida Oriente,Los Angeles,34.24244027035758::-119.1426239203321,7,947
802 Font Boulevard,San Francisco,37.75859203667038::-122.4510248573286,10,3403
North Island Avenue,Los Angeles,34.1783348494717::-119.0243685321495,38,2764
Bates Place,Los Angeles,34.25161725589565::-118.9024832875457,24,1680
West McNab Road,Miami,25.84814123050894::-80.26105681699086,2,196
South Eleanor Street,Chicago,41.93017628075583::-87.69572884314024,7,159
88th Avenue South,Seattle,26.23615542401049::-80.17637443563856,33,1356
East Telegraph Road,Los Angeles,33.95578451960688::-118.1116490450286,52,2368
23 Magellan Avenue,San Francisco,37.66368177411027::-122.4302267091257,7,3704
7013-7017 North Ravenswood Avenue,Chicago,41.88335768424742::-87.65883226737907,30,239
Powerline Trail,Los Angeles,34.19242427822979::-118.8758573445584,41,1655
Southeast 215th Street,Seattle,47.67154263435069::-122.1914194633792,21,823
Redberry Court,Miami,26.84010619757775::-80.07019260979547,7,2721
West Roosevelt Road,Chicago,42.05378916294437::-87.89455337610934,32,1345
Southeast Newport Way,Seattle,47.77244213394787::-122.3104355658488,27,2054
21-Mar,Seattle,47.65627237390473::-122.337093580127,29,1196
Northeast 12th Terrace,Miami,26.14177875731856::-80.25868944568806,7,366
94th Avenue South,Seattle,47.66908909532096::-122.387713313139,21,2966
Crossover Drive,San Francisco,37.62942528848112::-122.4404440068186,18,597
Los Encinos Way,Los Angeles,34.24193284954721::-118.5901101878549,7,1150
61-70 67th Street,New York,40.84702327120304::-73.88737834187963,19,2433
Etiwanda Avenue,Los Angeles,34.24910353726299::-119.1474969115308,13,583
West Brownlee Avenue,Dallas,32.74801456857474::-97.36702972562244,19,2373
Thomas Avenue,San Francisco,37.77942761471228::-122.4448928416208,1,2846
Thorpe Avenue,Los Angeles,34.30723253179809::-118.5390414755292,43,3256
Southwest 96th Place,Seattle,47.36376853364425::-122.1767505436717,20,2736
Gail Drive,New York,40.63957838833404::-73.93332667237132,38,497
Forest Hill Boulevard,Miami,26.26504267308449::-80.11098236888716,7,2331
74th Street,New York,40.72179983408532::-73.8243123895459,7,2391
Southwest 142nd Street,Miami,26.67624799254113::-80.17106734240389,7,2610
Hayvenhurst Avenue,Los Angeles,34.22911592899327::-119.13288224802,21,2257
Colecrest Drive,Los Angeles,33.96717625172131::-118.2811580047107,7,2243
K Avenue,Dallas,32.68647590016139::-96.80818850076783,28,2460
Atlantic Way,Dallas,32.95447842183899::-96.62129077852251,7,2396
Evans Avenue,San Francisco,37.80150303487739::-122.4221144307416,7,3173
Mason Street,San Francisco,37.65740130402433::-122.380418271078,0,3720
103-14 97th Avenue,New York,40.87435445272996::-73.85867664238931,7,1744
Madison St & Clinton S,New York,,58,5
3829 Aurora Avenue North,Seattle,26.58749000423673::-80.07086177940596,7,2086
925 Kearny Street,San Francisco,37.74650852104257::-122.5064959221226,6,3227
Endeavor Place,New York,40.67768329783065::-74.00707081276926,8,2203
Rocky Peak Trail,Los Angeles,34.16006845908322::-118.3529378800006,31,2593
3423 13th Avenue West,Seattle,47.67073610381171::-122.3692785293426,17,1012
South 31st Street,Seattle,47.8082825813625::-122.3462420728414,30,3148
80-21 269th Street,New York,40.73294961538099::-73.67781592036526,1,886
Southwest 56th Street,Miami,25.89831147308963::-80.23531434790893,41,1396
677 Mother Gaston Boulevard,New York,40.68919027446859::-73.87149810218274,7,923
West Grand Avenue,Chicago,41.96632587680902::-87.67063862484648,16,2759
Riverbank Road,Dallas,32.74818116467552::-96.73033055368217,7,2392
Black Oak Drive,Dallas,33.11489626813802::-96.65589188211624,7,554
1200 Arguello Boulevard,San Francisco,37.76579456459921::-122.5030079875623,7,530
Bixby Road,Los Angeles,34.1662027804811::-118.7912282132711,7,3096
,Seattle,47.42367549401262::-122.2655950298756,1,942
147-44 Jasmine Avenue,New York,40.69830947236112::-73.8506909287275,1,142
The Grotto,Los Angeles,34.28245717115011::-118.9686959878519,7,2528
57th Avenue Southeast,Seattle,47.66348694435852::-122.3820280095025,10,397
1508 Taraval Street,San Francisco,37.73440265215541::-122.4538015409549,7,752
Royal Palm Memorial Gardens,Miami,26.49186081101046::-80.06573542775224,8,627
Leghorn Avenue,Los Angeles,34.30086408982334::-118.9217580234071,7,2542
5809 West Berenice Avenue,Chicago,41.99646103411168::-87.69298748376366,32,3492
San Francisco Bay Railroad,San Francisco,37.77743104038292::-122.5120836228287,19,1634
Talavera Place,Miami,26.76317244911682::-80.08229100812277,20,207
Northeast 183rd Street,Seattle,47.66705796328121::-122.3031819160555,7,1791
Parkwood Boulevard,Dallas,32.87055538616111::-96.71831858070856,34,553
West 11th Court,Seattle,26.60186588592238::-80.08382695322173,13,1486
147-32 71st Road,New York,40.75647614875318::-73.88791999044589,36,3273
Cameo Way,San Francisco,37.7491487320375::-122.3972764441029,24,710
Allegro Court,Los Angeles,34.26911361413227::-118.8112627440051,20,307
15th Avenue,San Francisco,37.65655571561876::-122.4091455554408,24,191
Los Angeles River Bike Route,Los Angeles,34.32385466083937::-118.643375044032,37,3459
Viridian Park Lane,Dallas,32.83189972535473::-96.65325490333798,56,754
Northwest 121st Terrace,Miami,25.84573161562371::-80.28524243863137,7,867
Edie Road,San Francisco,37.77745206271524::-122.4767809344651,7,3061
6106 North Kimball Avenue,Chicago,41.92614670939598::-87.79480801100607,7,2576
3rd Avenue,New York,40.73780112794812::-73.89451184009651,7,3001
South Arlington Heights Road,Chicago,41.88217319576051::-87.75863700829488,38,1900
1st Avenue Northeast,Seattle,47.54876163676295::-122.1471857375974,3,615
16th Avenue,San Francisco,37.65017392585078::-122.3954216103164,22,1505
Northwest 4th Court,Miami,26.17293715480286::-80.14936215238406,7,2001
East Las Virgenes Canyon Trail,Los Angeles,34.27258775653172::-118.7209460138514,7,2487
63rd Street,New York,40.66061777437354::-73.91003729784464,7,2568
Pinehaven Drive,San Francisco,37.77418040787016::-122.4167120701892,38,953
Tree Trunk Trail,Dallas,32.8959385415071::-96.72028040064524,33,1360
11th Avenue,San Francisco,37.79388010330158::-122.3941881726438,11,2972
Kildare Avenue,Dallas,32.81748443313862::-96.71193804604836,7,3593
56th Road,New York,40.60443537698937::-73.95276994198294,29,1495
149-23 16th Road,New York,40.83510128960322::-73.88991923112218,42,3073
West Park Avenue,Chicago,41.89268859582416::-87.65068116994152,26,621
Kraft Avenue,Los Angeles,34.25570150278512::-119.1248366885142,20,453
North Patton Avenue,Chicago,42.03543180493373::-87.76121663413062,7,2903
619 South Snoqualmie Street,Seattle,47.64675607041988::-122.1696788268546,7,2900
1934 Haring Street,New York,40.70770214890727::-73.95238576459988,6,767
38th Avenue,San Francisco,37.77530903341871::-122.389196595378,14,324
18th Avenue,San Francisco,37.74495240757568::-122.4324510703331,26,34
Bates Place,Los Angeles,34.09863907518201::-118.9935930297595,7,567
1281 Southwest Othello Street,Seattle,47.3693732841699::-122.2203080396553,23,1550
600 Northeast 78th Street,Seattle,47.68806156312434::-122.3713117821975,42,1117
1393 Lyons Road,Miami,26.69593168973512::-80.17204762416455,18,625
West Approach Bridge North (WABN),Seattle,26.08516270611695::-80.30430499666271,7,1427
Webb Chapel Extension,Dallas,32.89927388492507::-96.78284088140911,13,593
Hogback Trail,Los Angeles,33.8784472458717::-118.3261330749631,4,1837
4517 Foster Avenue,New York,40.73645972300976::-73.92446056073946,27,2925
